Resp. Origem;Resp. Destino;Rota;Coleta;Entrega;Terminais;Fixo das Unidades;Redespacho Coleta/Redespacho Entrega;Transferencias;Vazios;Custo Matriz;Total
SAO;ITJ;SSZ_ITJ;0,00%;5,07%;22,35%;3,43%;41,12%;4,70%;4,33%;19,00%;100,00%
LDB;ITJ;CAC_ITJ;0,00%;5,18%;21,92%;15,24%;26,33%;5,56%;6,77%;19,00%;100,00%
LDB;ITJ;LDB_ITJ;8,22%;6,65%;28,13%;23,88%;0,00%;7,13%;6,99%;19,00%;100,00%
CPQ;ITJ;CPQ_ITJ;8,99%;5,33%;33,81%;19,92%;0,00%;7,80%;5,16%;19,00%;100,00%
CPQ;ITJ;SJK_ITJ;0,00%;4,67%;29,64%;5,63%;29,32%;6,84%;4,91%;19,00%;100,00%
CPQ;ITJ;SOD_ITJ;0,00%;5,18%;32,90%;6,25%;25,27%;7,59%;3,82%;19,00%;100,00%
MGF;ITJ;MGF_ITJ;4,46%;5,29%;30,76%;26,11%;0,00%;7,32%;7,05%;19,00%;100,00%
BAU;ITJ;BAU_ITJ;11,50%;5,28%;35,22%;14,16%;0,00%;8,73%;6,11%;19,00%;100,00%
BHZ;ITJ;PSA_ITJ;0,00%;3,81%;26,09%;4,59%;34,75%;8,22%;3,53%;19,00%;100,00%
RAO;ITJ;RAO_ITJ;11,19%;6,12%;35,53%;14,69%;0,00%;9,37%;4,10%;19,00%;100,00%
SJP;ITJ;PPB_ITJ;0,00%;3,82%;39,73%;4,60%;19,60%;7,27%;5,98%;19,00%;100,00%
SJP;ITJ;SJP_ITJ;5,33%;4,57%;47,50%;11,85%;0,00%;8,69%;3,06%;19,00%;100,00%
RIO;ITJ;CAW_ITJ;0,00%;5,19%;33,12%;0,00%;29,65%;9,55%;3,48%;19,00%;100,00%
RIO;ITJ;RIO_ITJ;14,60%;6,72%;42,83%;0,00%;0,00%;12,35%;4,50%;19,00%;100,00%
BHZ;ITJ;JDF_ITJ;0,00%;4,86%;33,25%;0,00%;29,15%;10,48%;3,25%;19,00%;100,00%
BHZ;ITJ;DIV_ITJ;0,00%;6,32%;43,26%;0,00%;13,56%;13,63%;4,23%;19,00%;100,00%
UDI;ITJ;UDI_ITJ;7,45%;8,19%;52,28%;0,00%;0,00%;7,59%;5,49%;19,00%;100,00%
BHZ;ITJ;BHZ_ITJ;7,92%;6,84%;46,87%;0,00%;0,00%;14,77%;4,59%;19,00%;100,00%
VIX;ITJ;VIX_ITJ;5,07%;6,46%;38,18%;11,74%;0,00%;15,22%;4,33%;19,00%;100,00%
GYN;ITJ;GYN_ITJ;10,12%;6,83%;41,51%;0,00%;0,00%;17,96%;4,58%;19,00%;100,00%
BSB;ITJ;BSB_ITJ;8,18%;5,69%;43,79%;0,00%;0,00%;17,92%;5,41%;19,00%;100,00%
BSB;ITJ;CGB_ITJ;44,42%;3,08%;19,53%;0,00%;0,00%;10,99%;2,98%;19,00%;100,00%
BSB;ITJ;CGR_ITJ;47,83%;3,84%;16,91%;0,00%;0,00%;9,85%;2,57%;19,00%;100,00%
BSB;ITJ;PMW_ITJ;0,00%;3,50%;26,90%;0,00%;32,61%;11,01%;6,98%;19,00%;100,00%
FES;ITJ;VDC_ITJ;0,00%;4,35%;23,39%;0,00%;34,98%;15,37%;2,92%;19,00%;100,00%
FES;ITJ;ITN_ITJ;0,00%;4,69%;25,18%;0,00%;31,45%;16,54%;3,14%;19,00%;100,00%
SSA;ITJ;SSA_ITJ;10,40%;5,81%;40,19%;0,00%;0,00%;20,71%;3,89%;19,00%;100,00%
FES;ITJ;FES_ITJ;4,45%;7,24%;38,90%;0,00%;0,00%;25,56%;4,85%;19,00%;100,00%
AJU;ITJ;AJU_ITJ;13,43%;5,47%;35,02%;0,00%;0,00%;23,41%;3,67%;19,00%;100,00%
MCZ;ITJ;MCZ_ITJ;7,88%;5,62%;38,78%;0,00%;0,00%;24,94%;3,77%;19,00%;100,00%
FOR;ITJ;IMP_ITJ;0,00%;3,67%;23,32%;0,00%;33,08%;18,47%;2,46%;19,00%;100,00%
FOR;ITJ;THE_ITJ;0,00%;3,69%;23,47%;0,00%;32,78%;18,59%;2,47%;19,00%;100,00%
REC;ITJ;CAU_ITJ;0,00%;3,98%;25,50%;0,00%;29,93%;18,91%;2,67%;19,00%;100,00%
REC;ITJ;PNZ_ITJ;0,00%;3,80%;24,33%;0,00%;32,28%;18,04%;2,55%;19,00%;100,00%
REC;ITJ;REC_ITJ;9,91%;5,55%;35,50%;0,00%;0,00%;26,32%;3,72%;19,00%;100,00%
JPA;ITJ;JPA_ITJ;6,69%;5,73%;36,41%;0,00%;0,00%;28,34%;3,84%;19,00%;100,00%
NAT;ITJ;NAT_ITJ;7,94%;5,26%;37,27%;0,00%;0,00%;27,01%;3,52%;19,00%;100,00%
FOR;ITJ;SLZ_ITJ;0,00%;3,76%;23,92%;0,00%;31,85%;18,95%;2,52%;19,00%;100,00%
FOR;ITJ;FOR_ITJ;8,85%;5,52%;35,11%;0,00%;0,00%;27,82%;3,70%;19,00%;100,00%
BEL;ITJ;BEL_ITJ;9,00%;6,28%;47,57%;0,00%;0,00%;12,08%;6,08%;19,00%;100,00%
FES;FES;ITN_ITN;0,00%;0,00%;10,17%;0,00%;70,83%;0,00%;0,00%;19,00%;100,00%
SSA;FES;SSA_ITN;9,87%;37,01%;13,84%;15,08%;0,00%;1,90%;3,31%;19,00%;100,00%
AJU;FES;AJU_ITN;14,35%;39,22%;6,02%;11,26%;0,00%;4,39%;5,76%;19,00%;100,00%
FES;FES;VDC_ITN;0,00%;33,65%;4,83%;0,00%;40,29%;0,00%;2,23%;19,00%;100,00%
