ROTA;ORIGEM;DESTINO;UF_ORIGEM;UF_DESTINO;10-Frete Peso;20-Frete Peso;30-Frete Peso;50-Frete Peso;75-Frete Peso;100-Frete Peso;999,999,999.9999-Frete Peso;999,999,999.9999-Frete Valor
ALIMCP;ALI;MCP;AL;AP; R$ 430,14 ; R$ 505,39 ; R$ 595,96 ; R$ 761,19 ; R$ 1.050,98 ; R$ 1.556,86 ; R$ 15,57 ;0,93%
ALIMCZ;ALI;MCZ;AL;AL; R$ 190,07 ; R$ 223,32 ; R$ 263,35 ; R$ 336,37 ; R$ 464,43 ; R$ 687,97 ; R$ 6,88 ;0,62%
ALIMGF;ALI;MGF;AL;PR; R$ 264,73 ; R$ 311,05 ; R$ 366,79 ; R$ 468,49 ; R$ 646,85 ; R$ 958,19 ; R$ 9,58 ;1,13%
ALIMGI;ALI;MGI;AL;MG; R$ 253,37 ; R$ 297,69 ; R$ 351,04 ; R$ 448,37 ; R$ 619,07 ; R$ 917,04 ; R$ 9,17 ;0,83%
ALIMGI2;ALI;MGI2;AL;MG; R$ 350,84 ; R$ 412,23 ; R$ 486,11 ; R$ 620,88 ; R$ 857,26 ; R$ 1.269,89 ; R$ 12,69 ;0,83%
ALIMSI;ALI;MSI;AL;MS; R$ 762,59 ; R$ 896,01 ; R$ 1.056,58 ; R$ 1.349,53 ; R$ 1.863,31 ; R$ 2.760,17 ; R$ 27,60 ;1,24%
ALIMSI2;ALI;MSI2;AL;MS; R$ 1.048,56 ; R$ 1.232,01 ; R$ 1.452,80 ; R$ 1.855,60 ; R$ 2.562,05 ; R$ 3.795,24 ; R$ 37,95 ;1,24%
ALIMTI;ALI;MTI;AL;MT; R$ 907,97 ; R$ 1.066,83 ; R$ 1.258,02 ; R$ 1.606,81 ; R$ 2.218,54 ; R$ 3.286,40 ; R$ 32,86 ;1,35%
ALIMTI2;ALI;MTI2;AL;MT; R$ 1.248,47 ; R$ 1.466,89 ; R$ 1.729,77 ; R$ 2.209,37 ; R$ 3.050,51 ; R$ 4.518,81 ; R$ 45,18 ;1,35%
ALINAT;ALI;NAT;AL;RN; R$ 215,99 ; R$ 253,78 ; R$ 299,26 ; R$ 382,24 ; R$ 527,76 ; R$ 781,78 ; R$ 7,82 ;0,83%
ALIPAI;ALI;PAI;AL;PA; R$ 707,87 ; R$ 831,72 ; R$ 980,77 ; R$ 1.252,71 ; R$ 1.729,63 ; R$ 2.562,14 ; R$ 25,62 ;0,93%
ALIPAI2;ALI;PAI2;AL;PA; R$ 973,32 ; R$ 1.143,62 ; R$ 1.348,56 ; R$ 1.722,47 ; R$ 2.378,24 ; R$ 3.522,95 ; R$ 35,23 ;0,93%
ALIPBI;ALI;PBI;AL;PB; R$ 287,36 ; R$ 337,64 ; R$ 398,14 ; R$ 508,53 ; R$ 702,14 ; R$ 1.040,10 ; R$ 10,40 ;0,83%
ALIPBI2;ALI;PBI2;AL;PB; R$ 307,34 ; R$ 361,10 ; R$ 425,81 ; R$ 543,87 ; R$ 750,94 ; R$ 1.112,38 ; R$ 11,12 ;0,83%
ALIPEI;ALI;PEI;AL;PE; R$ 241,87 ; R$ 284,19 ; R$ 335,12 ; R$ 428,04 ; R$ 591,00 ; R$ 875,46 ; R$ 8,75 ;0,83%
ALIPEI2;ALI;PEI2;AL;PE; R$ 297,68 ; R$ 349,77 ; R$ 412,46 ; R$ 526,81 ; R$ 727,37 ; R$ 1.077,48 ; R$ 10,77 ;0,83%
ALIPII;ALI;PII;AL;PI; R$ 303,25 ; R$ 356,31 ; R$ 420,16 ; R$ 536,65 ; R$ 740,97 ; R$ 1.097,62 ; R$ 10,98 ;0,83%
ALIPII2;ALI;PII2;AL;PI; R$ 373,23 ; R$ 438,54 ; R$ 517,13 ; R$ 660,50 ; R$ 911,97 ; R$ 1.350,92 ; R$ 13,51 ;0,83%
ALIPMW;ALI;PMW;AL;TO; R$ 309,99 ; R$ 364,22 ; R$ 429,49 ; R$ 548,57 ; R$ 757,42 ; R$ 1.121,99 ; R$ 11,22 ;0,83%
ALIPOA;ALI;POA;AL;RS; R$ 235,20 ; R$ 276,35 ; R$ 325,88 ; R$ 416,24 ; R$ 574,70 ; R$ 851,32 ; R$ 8,52 ;1,24%
ALIPPB;ALI;PPB;AL;SP; R$ 300,83 ; R$ 353,46 ; R$ 416,80 ; R$ 532,36 ; R$ 735,04 ; R$ 1.088,83 ; R$ 10,89 ;1,24%
ALIPPB2;ALI;PPB2;AL;SP; R$ 370,25 ; R$ 435,02 ; R$ 512,98 ; R$ 655,21 ; R$ 904,66 ; R$ 1.340,11 ; R$ 13,40 ;1,24%
ALIPRI;ALI;PRI;AL;PR; R$ 306,49 ; R$ 360,11 ; R$ 424,65 ; R$ 542,38 ; R$ 748,87 ; R$ 1.109,32 ; R$ 11,09 ;1,24%
ALIPRI2;ALI;PRI2;AL;PR; R$ 419,52 ; R$ 492,91 ; R$ 581,24 ; R$ 742,41 ; R$ 1.025,05 ; R$ 1.518,44 ; R$ 15,18 ;1,24%
ALIRAO;ALI;RAO;AL;SP; R$ 254,55 ; R$ 299,07 ; R$ 352,67 ; R$ 450,46 ; R$ 621,95 ; R$ 921,32 ; R$ 9,21 ;1,03%
ALIRAO2;ALI;RAO2;AL;SP; R$ 370,25 ; R$ 435,02 ; R$ 512,98 ; R$ 655,21 ; R$ 904,66 ; R$ 1.340,11 ; R$ 13,40 ;1,09%
ALIREC;ALI;REC;AL;PE; R$ 186,05 ; R$ 218,61 ; R$ 257,78 ; R$ 329,26 ; R$ 454,61 ; R$ 673,42 ; R$ 6,74 ;0,83%
ALIRIO;ALI;RIO;AL;RJ; R$ 244,18 ; R$ 286,90 ; R$ 338,31 ; R$ 432,11 ; R$ 596,62 ; R$ 883,79 ; R$ 8,84 ;0,83%
ALIRJI;ALI;RJI;AL;RJ; R$ 337,02 ; R$ 395,99 ; R$ 466,94 ; R$ 596,41 ; R$ 823,48 ; R$ 1.219,84 ; R$ 12,20 ;0,83%
ALIRJI2;ALI;RJI2;AL;RJ; R$ 409,24 ; R$ 480,84 ; R$ 567,00 ; R$ 724,21 ; R$ 999,94 ; R$ 1.481,24 ; R$ 14,81 ;0,83%
ALIRNI;ALI;RNI;AL;RN; R$ 280,79 ; R$ 329,91 ; R$ 389,04 ; R$ 496,91 ; R$ 686,08 ; R$ 1.016,32 ; R$ 10,17 ;0,83%
ALIRNI2;ALI;RNI2;AL;RN; R$ 345,59 ; R$ 406,05 ; R$ 478,81 ; R$ 611,58 ; R$ 844,41 ; R$ 1.250,85 ; R$ 12,51 ;0,83%
ALIRSI;ALI;RSI;AL;RS; R$ 341,89 ; R$ 401,71 ; R$ 473,70 ; R$ 605,03 ; R$ 835,38 ; R$ 1.237,46 ; R$ 12,37 ;1,24%
ALIRSI2;ALI;RSI2;AL;RS; R$ 420,78 ; R$ 494,41 ; R$ 583,01 ; R$ 744,65 ; R$ 1.028,15 ; R$ 1.523,03 ; R$ 15,23 ;1,24%
ALISAO;ALI;SAO;AL;SP; R$ 220,52 ; R$ 259,11 ; R$ 305,53 ; R$ 390,24 ; R$ 538,82 ; R$ 798,17 ; R$ 7,98 ;0,88%
ALISCI;ALI;SCI;AL;SC; R$ 316,99 ; R$ 372,44 ; R$ 439,19 ; R$ 560,96 ; R$ 774,53 ; R$ 1.147,33 ; R$ 11,47 ;1,24%
ALISCI2;ALI;SCI2;AL;SC; R$ 390,14 ; R$ 458,40 ; R$ 540,54 ; R$ 690,41 ; R$ 953,27 ; R$ 1.412,10 ; R$ 14,12 ;1,24%
ALISEI;ALI;SEI;AL;SE; R$ 197,90 ; R$ 232,53 ; R$ 274,19 ; R$ 350,21 ; R$ 483,54 ; R$ 716,30 ; R$ 7,17 ;0,62%
ALISEI2;ALI;SEI2;AL;SE; R$ 243,57 ; R$ 286,19 ; R$ 337,47 ; R$ 431,04 ; R$ 595,13 ; R$ 881,59 ; R$ 8,81 ;0,72%
ALISJK;ALI;SJK;AL;SP; R$ 243,58 ; R$ 286,20 ; R$ 337,49 ; R$ 431,07 ; R$ 595,17 ; R$ 881,66 ; R$ 8,81 ;0,93%
ALISJK2;ALI;SJK2;AL;SP; R$ 370,25 ; R$ 435,02 ; R$ 512,98 ; R$ 655,21 ; R$ 904,66 ; R$ 1.340,11 ; R$ 13,40 ;1,03%
ALISJP;ALI;SJP;AL;SP; R$ 254,55 ; R$ 299,07 ; R$ 352,67 ; R$ 450,46 ; R$ 621,95 ; R$ 921,32 ; R$ 9,21 ;1,09%
ALISJP2;ALI;SJP2;AL;SP; R$ 370,25 ; R$ 435,02 ; R$ 512,98 ; R$ 655,21 ; R$ 904,66 ; R$ 1.340,11 ; R$ 13,40 ;1,24%
ALISLZ;ALI;SLZ;AL;MA; R$ 227,66 ; R$ 267,50 ; R$ 315,43 ; R$ 402,88 ; R$ 556,26 ; R$ 824,01 ; R$ 8,23 ;0,83%
ALISOD;ALI;SOD;AL;SP; R$ 243,58 ; R$ 286,20 ; R$ 337,49 ; R$ 431,07 ; R$ 595,17 ; R$ 881,66 ; R$ 8,81 ;0,93%
ALISOD2;ALI;SOD2;AL;SP; R$ 370,25 ; R$ 435,02 ; R$ 512,98 ; R$ 655,21 ; R$ 904,66 ; R$ 1.340,11 ; R$ 13,40 ;1,03%
ALISSA;ALI;SSA;AL;BA; R$ 159,99 ; R$ 187,98 ; R$ 221,66 ; R$ 283,13 ; R$ 390,91 ; R$ 579,07 ; R$ 5,79 ;0,62%
ALISSZ;ALI;SSZ;AL;SP; R$ 300,83 ; R$ 353,46 ; R$ 416,80 ; R$ 532,36 ; R$ 735,04 ; R$ 1.088,83 ; R$ 10,89 ;0,93%
ALISSZ2;ALI;SSZ2;AL;SP; R$ 370,25 ; R$ 435,02 ; R$ 512,98 ; R$ 655,21 ; R$ 904,66 ; R$ 1.340,11 ; R$ 13,40 ;1,03%
ALITHE;ALI;THE;AL;PI; R$ 233,27 ; R$ 274,09 ; R$ 323,20 ; R$ 412,82 ; R$ 569,98 ; R$ 844,32 ; R$ 8,44 ;0,83%
ALITOI;ALI;TOI;AL;TO; R$ 495,98 ; R$ 582,75 ; R$ 687,19 ; R$ 877,73 ; R$ 1.211,88 ; R$ 1.795,20 ; R$ 17,95 ;0,83%
ALITOI2;ALI;TOI2;AL;TO; R$ 681,97 ; R$ 801,29 ; R$ 944,88 ; R$ 1.206,87 ; R$ 1.666,34 ; R$ 2.468,39 ; R$ 24,68 ;0,83%
ALIUDI;ALI;UDI;AL;MG; R$ 228,36 ; R$ 268,31 ; R$ 316,40 ; R$ 404,13 ; R$ 557,98 ; R$ 826,55 ; R$ 8,26 ;0,83%
ALIVIX;ALI;VIX;AL;ES; R$ 175,75 ; R$ 206,49 ; R$ 243,50 ; R$ 311,02 ; R$ 429,42 ; R$ 636,11 ; R$ 6,37 ;0,83%
ALI2AJU;ALI2;AJU;AL;SE; R$ 187,36 ; R$ 220,14 ; R$ 259,59 ; R$ 331,56 ; R$ 457,79 ; R$ 678,15 ; R$ 6,78 ;0,72%
ALI2ALI;ALI2;ALI;AL;AL; R$ 304,11 ; R$ 357,33 ; R$ 421,36 ; R$ 538,19 ; R$ 743,08 ; R$ 1.100,75 ; R$ 11,01 ;0,62%
ALI2ALI2;ALI;ALI2;AL;AL; R$ 374,30 ; R$ 439,78 ; R$ 518,60 ; R$ 662,38 ; R$ 914,56 ; R$ 1.354,76 ; R$ 13,54 ;0,62%
ALI2API;ALI2;API;AL;AP; R$ 946,29 ; R$ 1.111,85 ; R$ 1.311,10 ; R$ 1.674,62 ; R$ 2.312,17 ; R$ 3.425,09 ; R$ 34,25 ;0,93%
ALI2API2;ALI;API2;AL;API2; R$ 1.301,15 ; R$ 1.528,79 ; R$ 1.802,76 ; R$ 2.302,61 ; R$ 3.179,24 ; R$ 4.709,50 ; R$ 47,09 ;1,03%
ALI2ARU;ALI2;ARU;AL;SP; R$ 336,26 ; R$ 395,08 ; R$ 465,88 ; R$ 595,06 ; R$ 821,60 ; R$ 1.217,07 ; R$ 12,17 ;1,09%
ALI2ARU2;ALI;ARU2;AL;SP; R$ 455,69 ; R$ 535,41 ; R$ 631,36 ; R$ 806,42 ; R$ 1.113,43 ; R$ 1.649,36 ; R$ 16,50 ;1,24%
ALI2BAI;ALI2;BAI;AL;BA; R$ 276,47 ; R$ 324,84 ; R$ 383,05 ; R$ 489,27 ; R$ 675,53 ; R$ 1.000,68 ; R$ 10,00 ;0,62%
ALI2BAI2;ALI;BAI2;AL;BA; R$ 340,28 ; R$ 399,80 ; R$ 471,46 ; R$ 602,17 ; R$ 831,42 ; R$ 1.231,61 ; R$ 12,32 ;0,62%
ALI2BAU;ALI2;BAU;AL;SP; R$ 288,74 ; R$ 339,26 ; R$ 400,06 ; R$ 510,97 ; R$ 705,51 ; R$ 1.045,09 ; R$ 10,45 ;1,03%
ALI2BAU2;ALI;BAU2;AL;SP; R$ 455,69 ; R$ 535,41 ; R$ 631,36 ; R$ 806,42 ; R$ 1.113,43 ; R$ 1.649,36 ; R$ 16,50 ;1,09%
ALI2BEL;ALI2;BEL;AL;PA; R$ 608,33 ; R$ 714,77 ; R$ 842,85 ; R$ 1.076,54 ; R$ 1.486,39 ; R$ 2.201,84 ; R$ 22,02 ;0,93%
ALI2BHZ;ALI2;BHZ;AL;MG; R$ 238,38 ; R$ 280,08 ; R$ 330,27 ; R$ 421,84 ; R$ 582,44 ; R$ 862,80 ; R$ 8,63 ;0,83%
ALI2BNU;ALI2;BNU;AL;SC; R$ 266,58 ; R$ 313,22 ; R$ 369,35 ; R$ 471,75 ; R$ 651,36 ; R$ 964,88 ; R$ 9,65 ;1,24%
ALI2BSB;ALI2;BSB;AL;DF; R$ 310,91 ; R$ 365,29 ; R$ 430,76 ; R$ 550,20 ; R$ 759,65 ; R$ 1.125,30 ; R$ 11,25 ;1,24%
ALI2CEI;ALI2;CEI;AL;CE; R$ 332,30 ; R$ 390,45 ; R$ 460,41 ; R$ 588,07 ; R$ 811,95 ; R$ 1.202,77 ; R$ 12,02 ;0,83%
ALI2CEI2;ALI;CEI2;AL;CE; R$ 408,99 ; R$ 480,54 ; R$ 566,67 ; R$ 723,77 ; R$ 999,33 ; R$ 1.480,34 ; R$ 14,81 ;0,83%
ALI2CGB;ALI2;CGB;AL;MT; R$ 780,29 ; R$ 916,81 ; R$ 1.081,10 ; R$ 1.380,86 ; R$ 1.906,57 ; R$ 2.824,25 ; R$ 28,25 ;1,35%
ALI2CGR;ALI2;CGR;AL;MS; R$ 655,34 ; R$ 770,00 ; R$ 908,00 ; R$ 1.159,75 ; R$ 1.601,28 ; R$ 2.372,03 ; R$ 23,73 ;1,24%
ALI2CPF;ALI2;CPF;AL;SP; R$ 370,25 ; R$ 435,02 ; R$ 512,98 ; R$ 655,21 ; R$ 904,66 ; R$ 1.340,11 ; R$ 13,40 ;0,93%
ALI2CPF2;ALI;CPF2;AL;SP; R$ 455,69 ; R$ 535,41 ; R$ 631,36 ; R$ 806,42 ; R$ 1.113,43 ; R$ 1.649,36 ; R$ 16,50 ;1,03%
ALI2CPQ;ALI2;CPQ;AL;SP; R$ 257,44 ; R$ 302,48 ; R$ 356,69 ; R$ 455,59 ; R$ 629,03 ; R$ 931,80 ; R$ 9,32 ;0,93%
ALI2CWB;ALI2;CWB;AL;PR; R$ 311,69 ; R$ 366,23 ; R$ 431,85 ; R$ 551,59 ; R$ 761,58 ; R$ 1.128,16 ; R$ 11,28 ;1,03%
ALI2DIV;ALI2;DIV;AL;MG; R$ 269,89 ; R$ 317,10 ; R$ 373,92 ; R$ 477,60 ; R$ 659,43 ; R$ 976,84 ; R$ 9,77 ;0,83%
ALI2ESI;ALI2;ESI;AL;ES; R$ 330,20 ; R$ 387,96 ; R$ 457,49 ; R$ 584,33 ; R$ 806,79 ; R$ 1.195,13 ; R$ 11,95 ;0,83%
ALI2ESI2;ALI;ESI2;AL;ES; R$ 406,39 ; R$ 477,50 ; R$ 563,06 ; R$ 719,17 ; R$ 992,98 ; R$ 1.470,93 ; R$ 14,70 ;0,83%
ALI2FES;ALI2;FES;AL;BA; R$ 173,02 ; R$ 203,29 ; R$ 239,73 ; R$ 306,20 ; R$ 422,77 ; R$ 626,26 ; R$ 6,26 ;0,62%
ALI2FLN;ALI2;FLN;AL;SC; R$ 278,12 ; R$ 326,77 ; R$ 385,34 ; R$ 492,17 ; R$ 679,56 ; R$ 1.006,64 ; R$ 10,07 ;1,24%
ALI2FOR;ALI2;FOR;AL;CE; R$ 255,62 ; R$ 300,34 ; R$ 354,17 ; R$ 452,36 ; R$ 624,58 ; R$ 925,20 ; R$ 9,25 ;0,83%
ALI2GOI;ALI2;GOI;AL;GO; R$ 443,99 ; R$ 521,68 ; R$ 615,16 ; R$ 785,72 ; R$ 1.084,86 ; R$ 1.607,03 ; R$ 16,07 ;1,24%
ALI2GOI2;ALI;GOI2;AL;GO; R$ 546,46 ; R$ 642,06 ; R$ 757,13 ; R$ 967,05 ; R$ 1.335,21 ; R$ 1.977,89 ; R$ 19,78 ;1,24%
ALI2GUDI;ALI;GUDI;AL;MG; R$ 350,84 ; R$ 412,23 ; R$ 486,11 ; R$ 620,88 ; R$ 857,26 ; R$ 1.269,89 ; R$ 12,69 ;0,83%
ALI2GUDI2;ALI;GUDI2;AL;MG; R$ 431,81 ; R$ 507,36 ; R$ 598,28 ; R$ 764,16 ; R$ 1.055,09 ; R$ 1.562,94 ; R$ 15,63 ;0,88%
ALI2GYN;ALI2;GYN;AL;GO; R$ 341,54 ; R$ 401,28 ; R$ 473,19 ; R$ 604,40 ; R$ 834,50 ; R$ 1.236,19 ; R$ 12,36 ;1,24%
ALI2ITJ;ALI2;ITJ;AL;SC; R$ 294,39 ; R$ 345,90 ; R$ 407,89 ; R$ 520,97 ; R$ 719,32 ; R$ 1.065,55 ; R$ 10,65 ;1,24%
ALI2JOI;ALI2;JOI;AL;SC; R$ 312,43 ; R$ 367,08 ; R$ 432,87 ; R$ 552,89 ; R$ 763,38 ; R$ 1.130,81 ; R$ 11,30 ;1,24%
ALI2JPA;ALI2;JPA;AL;PB; R$ 236,40 ; R$ 277,77 ; R$ 327,54 ; R$ 418,36 ; R$ 577,65 ; R$ 855,68 ; R$ 8,56 ;0,83%
ALI2LDB;ALI2;LDB;AL;PR; R$ 309,70 ; R$ 363,89 ; R$ 429,09 ; R$ 548,07 ; R$ 756,72 ; R$ 1.120,95 ; R$ 11,21 ;1,13%
ALI2MAI;ALI2;MAI;AL;MA; R$ 387,06 ; R$ 454,78 ; R$ 536,28 ; R$ 684,96 ; R$ 945,75 ; R$ 1.400,95 ; R$ 14,01 ;0,83%
ALI2MAI2;ALI;MAI2;AL;MA; R$ 476,38 ; R$ 559,72 ; R$ 660,03 ; R$ 843,03 ; R$ 1.163,99 ; R$ 1.724,25 ; R$ 17,24 ;0,88%
ALI2MCP;ALI2;MCP;AL;AP; R$ 591,44 ; R$ 694,91 ; R$ 819,44 ; R$ 1.046,64 ; R$ 1.445,11 ; R$ 2.140,68 ; R$ 21,41 ;0,93%
ALI2MCZ;ALI2;MCZ;AL;AL; R$ 233,93 ; R$ 274,86 ; R$ 324,13 ; R$ 413,99 ; R$ 571,60 ; R$ 846,73 ; R$ 8,47 ;0,62%
ALI2MGF;ALI2;MGF;AL;PR; R$ 341,07 ; R$ 400,74 ; R$ 472,55 ; R$ 603,58 ; R$ 833,36 ; R$ 1.234,48 ; R$ 12,34 ;1,13%
ALI2MGI;ALI2;MGI;AL;MG; R$ 293,46 ; R$ 344,80 ; R$ 406,60 ; R$ 519,33 ; R$ 717,04 ; R$ 1.062,17 ; R$ 10,62 ;0,83%
ALI2MGI2;ALI;MGI2;AL;MG; R$ 358,30 ; R$ 420,99 ; R$ 496,43 ; R$ 634,08 ; R$ 875,48 ; R$ 1.296,87 ; R$ 12,97 ;0,83%
ALI2MSI;ALI2;MSI;AL;MS; R$ 1.048,56 ; R$ 1.232,01 ; R$ 1.452,80 ; R$ 1.855,60 ; R$ 2.562,05 ; R$ 3.795,24 ; R$ 37,95 ;1,24%
ALI2MSI2;ALI;MSI2;AL;MS; R$ 1.109,99 ; R$ 1.304,20 ; R$ 1.537,92 ; R$ 1.964,32 ; R$ 2.712,17 ; R$ 4.017,61 ; R$ 40,17 ;1,24%
ALI2MTI;ALI2;MTI;AL;MT; R$ 1.248,47 ; R$ 1.466,89 ; R$ 1.729,77 ; R$ 2.209,37 ; R$ 3.050,51 ; R$ 4.518,81 ; R$ 45,18 ;1,35%
ALI2MTI2;ALI;MTI2;AL;MT; R$ 1.716,64 ; R$ 2.016,97 ; R$ 2.378,42 ; R$ 3.037,88 ; R$ 4.194,45 ; R$ 6.213,35 ; R$ 62,13 ;1,35%
ALI2NAT;ALI2;NAT;AL;RN; R$ 265,84 ; R$ 312,35 ; R$ 368,32 ; R$ 470,44 ; R$ 649,54 ; R$ 962,19 ; R$ 9,63 ;0,83%
ALI2PAI;ALI2;PAI;AL;PA; R$ 973,32 ; R$ 1.143,62 ; R$ 1.348,56 ; R$ 1.722,47 ; R$ 2.378,24 ; R$ 3.522,95 ; R$ 35,23 ;0,93%
ALI2PAI2;ALI;PAI2;AL;PA; R$ 1.338,33 ; R$ 1.572,48 ; R$ 1.854,27 ; R$ 2.368,40 ; R$ 3.270,08 ; R$ 4.844,06 ; R$ 48,44 ;1,03%
ALI2PBI;ALI2;PBI;AL;PB; R$ 307,34 ; R$ 361,10 ; R$ 425,81 ; R$ 543,87 ; R$ 750,94 ; R$ 1.112,38 ; R$ 11,12 ;0,83%
ALI2PBI2;ALI;PBI2;AL;PB; R$ 378,25 ; R$ 444,43 ; R$ 524,07 ; R$ 669,38 ; R$ 924,22 ; R$ 1.369,09 ; R$ 13,69 ;0,83%
ALI2PEI;ALI2;PEI;AL;PE; R$ 297,68 ; R$ 349,77 ; R$ 412,46 ; R$ 526,81 ; R$ 727,37 ; R$ 1.077,48 ; R$ 10,77 ;0,83%
ALI2PEI2;ALI;PEI2;AL;PE; R$ 366,39 ; R$ 430,49 ; R$ 507,63 ; R$ 648,38 ; R$ 895,23 ; R$ 1.326,13 ; R$ 13,26 ;0,83%
ALI2PII;ALI2;PII;AL;PI; R$ 373,23 ; R$ 438,54 ; R$ 517,13 ; R$ 660,50 ; R$ 911,97 ; R$ 1.350,92 ; R$ 13,51 ;0,83%
ALI2PII2;ALI;PII2;AL;PI; R$ 459,37 ; R$ 539,73 ; R$ 636,46 ; R$ 812,93 ; R$ 1.122,42 ; R$ 1.662,66 ; R$ 16,62 ;0,83%
ALI2PMW;ALI2;PMW;AL;TO; R$ 426,23 ; R$ 500,80 ; R$ 590,55 ; R$ 754,29 ; R$ 1.041,46 ; R$ 1.542,75 ; R$ 15,43 ;0,83%
ALI2POA;ALI2;POA;AL;RS; R$ 301,68 ; R$ 354,47 ; R$ 417,99 ; R$ 533,89 ; R$ 737,15 ; R$ 1.091,95 ; R$ 10,92 ;1,24%
ALI2PPB;ALI2;PPB;AL;SP; R$ 370,25 ; R$ 435,02 ; R$ 512,98 ; R$ 655,21 ; R$ 904,66 ; R$ 1.340,11 ; R$ 13,40 ;1,24%
ALI2PPB2;ALI;PPB2;AL;SP; R$ 455,69 ; R$ 535,41 ; R$ 631,36 ; R$ 806,42 ; R$ 1.113,43 ; R$ 1.649,36 ; R$ 16,50 ;1,24%
ALI2PRI;ALI2;PRI;AL;PR; R$ 419,52 ; R$ 492,91 ; R$ 581,24 ; R$ 742,41 ; R$ 1.025,05 ; R$ 1.518,44 ; R$ 15,18 ;1,24%
ALI2PRI2;ALI;PRI2;AL;PR; R$ 516,33 ; R$ 606,67 ; R$ 715,39 ; R$ 913,73 ; R$ 1.261,60 ; R$ 1.868,85 ; R$ 18,69 ;1,24%
ALI2RAO;ALI2;RAO;AL;SP; R$ 313,29 ; R$ 368,10 ; R$ 434,07 ; R$ 554,41 ; R$ 765,49 ; R$ 1.133,94 ; R$ 11,34 ;1,03%
ALI2RAO2;ALI;RAO2;AL;SP; R$ 455,69 ; R$ 535,41 ; R$ 631,36 ; R$ 806,42 ; R$ 1.113,43 ; R$ 1.649,36 ; R$ 16,50 ;1,09%
ALI2REC;ALI2;REC;AL;PE; R$ 228,99 ; R$ 269,06 ; R$ 317,27 ; R$ 405,24 ; R$ 559,51 ; R$ 828,83 ; R$ 8,29 ;0,83%
ALI2RIO;ALI2;RIO;AL;RJ; R$ 281,24 ; R$ 330,46 ; R$ 389,68 ; R$ 497,71 ; R$ 687,20 ; R$ 1.017,98 ; R$ 10,18 ;0,83%
ALI2RJI;ALI2;RJI;AL;RJ; R$ 409,24 ; R$ 480,84 ; R$ 567,00 ; R$ 724,21 ; R$ 999,94 ; R$ 1.481,24 ; R$ 14,81 ;0,83%
ALI2RJI2;ALI;RJI2;AL;RJ; R$ 496,93 ; R$ 583,87 ; R$ 688,52 ; R$ 879,41 ; R$ 1.214,21 ; R$ 1.798,65 ; R$ 17,99 ;0,83%
ALI2RNI;ALI2;RNI;AL;RN; R$ 345,59 ; R$ 406,05 ; R$ 478,81 ; R$ 611,58 ; R$ 844,41 ; R$ 1.250,85 ; R$ 12,51 ;0,83%
ALI2RNI2;ALI;RNI2;AL;RN; R$ 425,34 ; R$ 499,76 ; R$ 589,31 ; R$ 752,71 ; R$ 1.039,28 ; R$ 1.539,51 ; R$ 15,40 ;0,83%
ALI2RSI;ALI2;RSI;AL;RS; R$ 398,35 ; R$ 468,05 ; R$ 551,93 ; R$ 704,96 ; R$ 973,34 ; R$ 1.441,84 ; R$ 14,42 ;1,24%
ALI2RSI2;ALI;RSI2;AL;RS; R$ 517,89 ; R$ 608,50 ; R$ 717,55 ; R$ 916,49 ; R$ 1.265,41 ; R$ 1.874,51 ; R$ 18,75 ;1,24%
ALI2SAO;ALI2;SAO;AL;SP; R$ 247,33 ; R$ 290,60 ; R$ 342,68 ; R$ 437,68 ; R$ 604,32 ; R$ 895,20 ; R$ 8,95 ;0,88%
ALI2SCI;ALI2;SCI;AL;SC; R$ 390,14 ; R$ 458,40 ; R$ 540,54 ; R$ 690,41 ; R$ 953,27 ; R$ 1.412,10 ; R$ 14,12 ;1,24%
ALI2SCI2;ALI;SCI2;AL;SC; R$ 480,17 ; R$ 564,18 ; R$ 665,28 ; R$ 849,74 ; R$ 1.173,24 ; R$ 1.737,96 ; R$ 17,38 ;1,24%
ALI2SEI;ALI2;SEI;AL;SE; R$ 243,57 ; R$ 286,19 ; R$ 337,47 ; R$ 431,04 ; R$ 595,13 ; R$ 881,59 ; R$ 8,81 ;0,72%
ALI2SEI2;ALI;SEI2;AL;SE; R$ 299,77 ; R$ 352,22 ; R$ 415,34 ; R$ 530,50 ; R$ 732,47 ; R$ 1.085,04 ; R$ 10,85 ;0,83%
ALI2SJK;ALI2;SJK;AL;SP; R$ 299,80 ; R$ 352,25 ; R$ 415,37 ; R$ 530,54 ; R$ 732,53 ; R$ 1.085,11 ; R$ 10,85 ;0,93%
ALI2SJK2;ALI;SJK2;AL;SP; R$ 455,69 ; R$ 535,41 ; R$ 631,36 ; R$ 806,42 ; R$ 1.113,43 ; R$ 1.649,36 ; R$ 16,50 ;1,03%
ALI2SJP;ALI2;SJP;AL;SP; R$ 301,90 ; R$ 354,72 ; R$ 418,29 ; R$ 534,25 ; R$ 737,66 ; R$ 1.092,71 ; R$ 10,93 ;1,09%
ALI2SJP2;ALI;SJP2;AL;SP; R$ 455,69 ; R$ 535,41 ; R$ 631,36 ; R$ 806,42 ; R$ 1.113,43 ; R$ 1.649,36 ; R$ 16,50 ;1,24%
ALI2SLZ;ALI2;SLZ;AL;MA; R$ 297,73 ; R$ 349,83 ; R$ 412,52 ; R$ 526,90 ; R$ 727,49 ; R$ 1.077,66 ; R$ 10,77 ;0,83%
