ROTA;ORIGEM;DESTINO;UF_ORIGEM;UF_DESTINO;10-Frete Peso;20-Frete Peso;30-Frete Peso;50-Frete Peso;75-Frete Peso;100-Frete Peso;999,999,999.9999-Frete Peso;999,999,999.9999-Frete Valor
AJUUDI;AJU;UDI;SE;MG; R$ 178,89 ; R$ 210,19 ; R$ 247,85 ; R$ 316,57 ; R$ 437,11 ; R$ 647,49 ; R$ 6,48 ;0,72%
AJUVIX;AJU;VIX;SE;ES; R$ 143,35 ; R$ 168,43 ; R$ 198,62 ; R$ 253,69 ; R$ 350,27 ; R$ 518,88 ; R$ 5,19 ;0,72%
ALIAJU;ALI;AJU;AL;SE; R$ 152,22 ; R$ 178,86 ; R$ 210,91 ; R$ 269,40 ; R$ 371,97 ; R$ 551,00 ; R$ 5,52 ;0,62%
ALIALI;ALI;ALI;AL;AL; R$ 247,10 ; R$ 290,32 ; R$ 342,35 ; R$ 437,28 ; R$ 603,76 ; R$ 894,36 ; R$ 8,94 ;0,62%
ALIALI2;ALI;ALI2;AL;AL; R$ 304,11 ; R$ 357,33 ; R$ 421,36 ; R$ 538,19 ; R$ 743,08 ; R$ 1.100,75 ; R$ 11,01 ;0,62%
ALIAPI;ALI;API;AL;AP; R$ 688,21 ; R$ 808,62 ; R$ 953,53 ; R$ 1.217,91 ; R$ 1.681,58 ; R$ 2.490,98 ; R$ 24,91 ;0,93%
ALIAPI2;ALI;API2;AL;API2; R$ 946,29 ; R$ 1.111,85 ; R$ 1.311,10 ; R$ 1.674,62 ; R$ 2.312,17 ; R$ 3.425,09 ; R$ 34,25 ;0,93%
ALIARU;ALI;ARU;AL;SP; R$ 300,83 ; R$ 353,46 ; R$ 416,80 ; R$ 532,36 ; R$ 735,04 ; R$ 1.088,83 ; R$ 10,89 ;1,09%
ALIARU2;ALI;ARU2;AL;SP; R$ 370,25 ; R$ 435,02 ; R$ 512,98 ; R$ 655,21 ; R$ 904,66 ; R$ 1.340,11 ; R$ 13,40 ;1,24%
ALIBAI;ALI;BAI;AL;BA; R$ 224,64 ; R$ 263,93 ; R$ 311,23 ; R$ 397,52 ; R$ 548,87 ; R$ 813,06 ; R$ 8,13 ;0,62%
ALIBAI2;ALI;BAI2;AL;BA; R$ 276,47 ; R$ 324,84 ; R$ 383,05 ; R$ 489,27 ; R$ 675,53 ; R$ 1.000,68 ; R$ 10,00 ;0,62%
ALIBAU;ALI;BAU;AL;SP; R$ 254,55 ; R$ 299,07 ; R$ 352,67 ; R$ 450,46 ; R$ 621,95 ; R$ 921,32 ; R$ 9,21 ;1,03%
