UF;CIDADE;BUSCA;REF;CLASSIFICACAO_CAP_IN;CAP_INT;REGIÇO;JAMEF;FILIAL_ATENDIMENTO
MG;ESPERA FELIZ;MGESPERA FELIZ;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
PB;ESPERANCA;PBESPERANCA;PBI1;Interior-1;I1;Nordeste;JPA;JoÆo Pessoa - PB
RS;ESPERANCA DO SUL;RSESPERANCA DO SUL;RSI2;Interior-2;I2;Sul;POA;Porto Alegre - RS
PR;ESPERANCA NOVA;PRESPERANCA NOVA;PRI2;Interior-2;I2;Sul;MGF;Maringa - PR
PI;ESPERANTINA;PIESPERANTINA;PII2;Interior-2;I2;Nordeste;THE;Teresina - PI
TO;ESPERANTINA;TOESPERANTINA;TOI1;Interior-1;I1;Norte;BSB;Brasilia - DF
MA;ESPERANTINOPOLIS;MAESPERANTINOPOLIS;MAI2;Interior-2;I2;Nordeste;SLZ;SÆo Luis - MA
PR;ESPIGAO ALTO DO IGUACU;PRESPIGAO ALTO DO IGUACU;PRI2;Interior-2;I2;Sul;LDB;Londrina - PR
MG;ESPINOSA;MGESPINOSA;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
RN;ESPIRITO SANTO;RNESPIRITO SANTO;RNI1;Interior-1;I1;Nordeste;NAT;Natal - RN
MG;ESPIRITO SANTO DO DOURADO;MGESPIRITO SANTO DO DOURADO;MGI1;Interior-1;I1;Sudeste;BHZ;Belo Horizonte - MG
SP;ESPIRITO SANTO DO PINHAL;SPESPIRITO SANTO DO PINHAL;SPI1;Interior-1;I1;Sudeste;CPQ;Campinas - SP
SP;ESPIRITO SANTO DO TURVO;SPESPIRITO SANTO DO TURVO;SPI1;Interior-1;I1;Sudeste;BAU;Bauru - SP
BA;ESPLANADA;BAESPLANADA;BAI2;Interior-2;I2;Nordeste;FES;Feira de Santana - BA
RS;ESPUMOSO;RSESPUMOSO;RSI2;Interior-2;I2;Sul;POA;Porto Alegre - RS
RS;ESTACAO;RSESTACAO;RSI1;Interior-1;I1;Sul;POA;Porto Alegre - RS
SE;ESTANCIA;SEESTANCIA;SEI2;Interior-2;I2;Nordeste;AJU;Aracaju - SE
RS;ESTANCIA VELHA;RSESTANCIA VELHA;RSC;Capital;C;Sul;POA;Porto Alegre - RS
RS;ESTEIO;RSESTEIO;RSC;Capital;C;Sul;POA;Porto Alegre - RS
MG;ESTIVA;MGESTIVA;MGI1;Interior-1;I1;Sudeste;BHZ;Belo Horizonte - MG
SP;ESTIVA GERBI;SPESTIVA GERBI;SPI1;Interior-1;I1;Sudeste;CPQ;Campinas - SP
MA;ESTREITO;MAESTREITO;MAI2;Interior-2;I2;Nordeste;SLZ;SÆo Luis - MA
RS;ESTRELA;RSESTRELA;RSI2;Interior-2;I2;Sul;POA;Porto Alegre - RS
MG;ESTRELA DALVA;MGESTRELA DALVA;MGI1;Interior-1;I1;Sudeste;BHZ;Belo Horizonte - MG
AL;ESTRELA DE ALAGOAS;ALESTRELA DE ALAGOAS;ALI2;Interior-2;I2;Nordeste;MCZ;Maceio - AL
MG;ESTRELA DO INDAIA;MGESTRELA DO INDAIA;MGI1;Interior-1;I1;Sudeste;BHZ;Belo Horizonte - MG
GO;ESTRELA DO NORTE;GOESTRELA DO NORTE;GOI1;Interior-1;I1;Centro Oeste;GYN;Goiania - GO
SP;ESTRELA DO NORTE;SPESTRELA DO NORTE;SPI1;Interior-1;I1;Sudeste;SJP;SÆo Jos‚ do Rio Preto - SP
MG;ESTRELA DO SUL;MGESTRELA DO SUL;MGI1;Interior-1;I1;Sudeste;BHZ;Belo Horizonte - MG
